2	1.919389844e+00
3	8.588969707e-01
4	5.185398459e-01
5	3.640388250e-01
6	2.794001102e-01
7	2.272518277e-01
8	1.924431473e-01
9	1.678283066e-01
10	1.496492475e-01
11	1.357644349e-01
12	1.248723269e-01
13	1.161417067e-01
14	1.090186313e-01
15	1.031214073e-01
16	9.817945212e-02
17	9.399548173e-02
18	9.042312950e-02
19	8.735109866e-02
20	8.469431847e-02
21	8.238545060e-02
22	8.037198335e-02
23	7.861163467e-02
24	7.706977427e-02
25	7.571867108e-02
26	7.453511655e-02
27	7.350007445e-02
28	7.259737700e-02
29	7.181361318e-02
30	7.113739103e-02
31	7.055890560e-02
32	7.006987929e-02
33	6.966309994e-02
34	6.933242828e-02
35	6.907244027e-02
36	6.887848675e-02
37	6.874641776e-02
38	6.867271662e-02
39	6.865413487e-02
40	6.868795305e-02
41	6.877156347e-02
42	6.890290231e-02
43	6.907989830e-02
44	6.930079311e-02
45	6.956399977e-02
46	6.986805797e-02
47	7.021176070e-02
48	7.059385628e-02
49	7.101325691e-02
50	7.146909833e-02
51	7.196033746e-02
52	7.248622924e-02
53	7.304605842e-02
54	7.363904268e-02
55	7.426461577e-02
56	7.492206991e-02
57	7.561095059e-02
58	7.633058727e-02
59	7.708065212e-02
60	7.786056399e-02
61	7.866989076e-02
62	7.950819284e-02
63	8.037513494e-02
64	8.127027005e-02
65	8.219330758e-02
66	8.314380050e-02
67	8.412148803e-02
68	8.512595296e-02
69	8.615691215e-02
70	8.721408993e-02
71	8.829716593e-02
72	8.940582722e-02
73	9.053980559e-02
74	9.169883281e-02
75	9.288262576e-02
76	9.409084171e-02
77	9.532331675e-02
78	9.657979012e-02
79	9.785988182e-02
80	9.916348010e-02
81	1.004902497e-01
82	1.018399596e-01
83	1.032123268e-01
84	1.046072319e-01
85	1.060243323e-01
86	1.074633375e-01
87	1.089241505e-01
88	1.104064584e-01
89	1.119100228e-01
90	1.134345978e-01
91	1.149799898e-01
92	1.165459231e-01
93	1.181322485e-01
94	1.197386980e-01
95	1.213649809e-01
96	1.230109781e-01
97	1.246763989e-01
98	1.263611168e-01
99	1.280647665e-01
100	1.297872216e-01
101	1.315281987e-01
102	1.332876086e-01
103	1.350650638e-01
104	1.368605196e-01
105	1.386735737e-01
106	1.405042261e-01
107	1.423520744e-01
108	1.442170739e-01
109	1.460988969e-01
110	1.479973644e-01
111	1.499122530e-01
112	1.518433541e-01
113	1.537905931e-01
114	1.557535827e-01
115	1.577322334e-01
116	1.597262919e-01
117	1.617356688e-01
118	1.637599766e-01
119	1.657990664e-01
120	1.678528935e-01
121	1.699211746e-01
122	1.720035821e-01
123	1.741001457e-01
124	1.762105227e-01
125	1.783346534e-01
126	1.804721504e-01
127	1.826230884e-01
128	1.847870052e-01
129	1.869638562e-01
130	1.891535968e-01
131	1.913557649e-01
132	1.935703456e-01
133	1.957970560e-01
134	1.980360150e-01
135	2.002866268e-01
136	2.025489360e-01
137	2.048227638e-01
138	2.071079165e-01
139	2.094042748e-01
140	2.117114961e-01
141	2.140297443e-01
142	2.163585275e-01
143	2.186977863e-01
144	2.210473120e-01
145	2.234070301e-01
146	2.257768512e-01
147	2.281564176e-01
148	2.305456847e-01
149	2.329443842e-01
150	2.353526056e-01
151	2.377698570e-01
152	2.401963621e-01
153	2.426317185e-01
154	2.450757772e-01
155	2.475284934e-01
156	2.499897629e-01
157	2.524591982e-01
158	2.549367547e-01
159	2.574225962e-01
160	2.599161267e-01
161	2.624173760e-01
162	2.649264038e-01
163	2.674427032e-01
164	2.699665129e-01
165	2.724975049e-01
166	2.750353813e-01
167	2.775804102e-01
168	2.801320553e-01
169	2.826904655e-01
170	2.852554917e-01
171	2.878268361e-01
172	2.904044092e-01
173	2.929883897e-01
174	2.955782115e-01
175	2.981739938e-01
176	3.007756174e-01
177	3.033829331e-01
178	3.059957325e-01
179	3.086140752e-01
180	3.112376332e-01
181	3.138662875e-01
182	3.165003359e-01
183	3.191392124e-01
184	3.217830658e-01
185	3.244317174e-01
186	3.270848691e-01
187	3.297426701e-01
188	3.324049711e-01
189	3.350714147e-01
190	3.377422988e-01
191	3.404172659e-01
192	3.430962563e-01
193	3.457791209e-01
194	3.484658897e-01
195	3.511565924e-01
196	3.538506925e-01
197	3.565482497e-01
198	3.592495620e-01
199	3.619540632e-01
200	3.646618426e-01
201	3.673726320e-01
202	3.700867295e-01
203	3.728039563e-01
204	3.755238056e-01
205	3.782465756e-01
206	3.809720874e-01
207	3.837003112e-01
208	3.864310980e-01
209	3.891642392e-01
210	3.918997347e-01
211	3.946377635e-01
212	3.973780870e-01
213	4.001204073e-01
214	4.028646648e-01
215	4.056110978e-01
216	4.083595872e-01
217	4.111096263e-01
218	4.138619006e-01
219	4.166156054e-01
220	4.193709195e-01
221	4.221278429e-01
222	4.248862565e-01
223	4.276459813e-01
224	4.304071069e-01
225	4.331697524e-01
226	4.359334707e-01
227	4.386983514e-01
228	4.414641857e-01
229	4.442312121e-01
230	4.469991922e-01
231	4.497679174e-01
232	4.525375962e-01
233	4.553080201e-01
234	4.580793977e-01
235	4.608511925e-01
236	4.636235833e-01
237	4.663963914e-01
238	4.691697955e-01
239	4.719436467e-01
240	4.747180939e-01
241	4.774926603e-01
242	4.802674949e-01
243	4.830425084e-01
244	4.858174920e-01
245	4.885930419e-01
246	4.913682640e-01
247	4.941436648e-01
248	4.969188273e-01
249	4.996939600e-01
250	5.024691820e-01
251	5.052441359e-01
252	5.080184937e-01
253	5.107930303e-01
254	5.135670900e-01
255	5.163406134e-01
