# ell, 100x100, 100x143, 100x217, 143x143, 143x217, 217x217
 156 18800.742371 8722.139062 5766.862872 9310.190345 5868.980002 5993.979619
 157 18726.115327 8703.095839 5756.103769 9284.617868 5857.535904 5980.680130
 158 18652.260263 8684.216918 5745.434322 9259.279685 5846.188058 5967.495828
 159 18579.164334 8665.499836 5734.853212 9234.172167 5834.935040 5954.424986
 160 18506.814990 8646.942184 5724.359148 9209.291762 5823.775458 5941.465909
 161 18435.199967 8628.541603 5713.950865 9184.634997 5812.707949 5928.616940
 162 18364.307275 8610.295782 5703.627125 9160.198472 5801.731176 5915.876457
 163 18294.125195 8592.202462 5693.386716 9135.978859 5790.843832 5903.242873
 164 18224.642269 8574.259427 5683.228449 9111.972902 5780.044635 5890.714630
 165 18155.847291 8556.464509 5673.151162 9088.177414 5769.332332 5878.290207
 166 18087.729305 8538.815584 5663.153714 9064.589272 5758.705693 5865.968110
 167 18020.277591 8521.310571 5653.234988 9041.205421 5748.163514 5853.746879
 168 17953.481666 8503.947430 5643.393890 9018.022869 5737.704613 5841.625081
 169 17887.331269 8486.724164 5633.629346 8995.038682 5727.327835 5829.601312
 170 17821.816364 8469.638814 5623.940304 8972.249991 5717.032045 5817.674199
 171 17756.927127 8452.689462 5614.325734 8949.653981 5706.816132 5805.842392
 172 17692.653944 8435.874227 5604.784623 8927.247897 5696.679006 5794.104571
 173 17628.987401 8419.191263 5595.315981 8905.029037 5686.619598 5782.459440
 174 17565.918287 8402.638762 5585.918836 8882.994755 5676.636861 5770.905731
 175 17503.437577 8386.214953 5576.592233 8861.142456 5666.729766 5759.442196
 176 17441.536439 8369.918094 5567.335237 8839.469597 5656.897306 5748.067617
 177 17380.206218 8353.746481 5558.146930 8817.973685 5647.138491 5736.780794
 178 17319.438442 8337.698441 5549.026411 8796.652274 5637.452351 5725.580553
 179 17259.224807 8321.772333 5539.972798 8775.502968 5627.837934 5714.465741
 180 17199.557181 8305.966545 5530.985222 8754.523416 5618.294307 5703.435228
 181 17140.427593 8290.279498 5522.062833 8733.711311 5608.820550 5692.487905
 182 17081.828234 8274.709640 5513.204794 8713.064393 5599.415766 5681.622682
 183 17023.751451 8259.255451 5504.410287 8692.580440 5590.079070 5670.838491
 184 16966.189741 8243.915435 5495.678505 8672.257278 5580.809596 5660.134283
 185 16909.135751 8228.688127 5487.008659 8652.092769 5571.606491 5649.509029
 186 16852.582271 8213.572086 5478.399971 8632.084817 5562.468919 5638.961717
 187 16796.522233 8198.565899 5469.851679 8612.231364 5553.396060 5628.491357
 188 16740.948704 8183.668178 5461.363034 8592.530391 5544.387107 5618.096972
 189 16685.854888 8168.877560 5452.933301 8572.979915 5535.441268 5607.777606
 190 16631.234117 8154.192705 5444.561756 8553.577991 5526.557764 5597.532319
 191 16577.079851 8139.612298 5436.247691 8534.322707 5517.735832 5587.360189
 192 16523.385675 8125.135048 5427.990407 8515.212187 5508.974720 5577.260308
 193 16470.145295 8110.759685 5419.789218 8496.244589 5500.273691 5567.231785
 194 16417.352535 8096.484962 5411.643452 8477.418102 5491.632018 5557.273746
 195 16365.001335 8082.309655 5403.552446 8458.730950 5483.048990 5547.385330
 196 16313.085748 8068.232558 5395.515548 8440.181386 5474.523907 5537.565692
 197 16261.599936 8054.252488 5387.532121 8421.767694 5466.056078 5527.814001
 198 16210.538170 8040.368282 5379.601533 8403.488191 5457.644829 5518.129442
 199 16159.894825 8026.578796 5371.723168 8385.341220 5449.289492 5508.511211
 200 16109.664380 8012.882908 5363.896417 8367.325153 5440.989415 5498.958520
 201 16059.841413 7999.279511 5356.120682 8349.438392 5432.743953 5489.470594
 202 16010.420598 7985.767518 5348.395375 8331.679365 5424.552474 5480.046670
 203 15961.396710 7972.345863 5340.719918 8314.046528 5416.414356 5470.685999
 204 15912.764612 7959.013493 5333.093743 8296.538361 5408.328987 5461.387842
 205 15864.519262 7945.769377 5325.516289 8279.153373 5400.295764 5452.151476
 206 15816.655705 7932.612496 5317.987006 8261.890094 5392.314097 5442.976187
 207 15769.169075 7919.541852 5310.505352 8244.747083 5384.383402 5433.861273
 208 15722.054589 7906.556462 5303.070796 8227.722920 5376.503105 5424.806045
 209 15675.307551 7893.655357 5295.682811 8210.816209 5368.672644 5415.809824
 210 15628.923344 7880.837586 5288.340883 8194.025578 5360.891464 5406.871942
 211 15582.897431 7868.102213 5281.044504 8177.349678 5353.159017 5397.991742
 212 15537.225353 7855.448315 5273.793174 8160.787179 5345.474767 5389.168577
 213 15491.902728 7842.874986 5266.586400 8144.336776 5337.838185 5380.401811
 214 15446.925249 7830.381334 5259.423699 8127.997184 5330.248750 5371.690819
 215 15402.288680 7817.966479 5252.304594 8111.767138 5322.705949 5363.034982
 216 15357.988859 7805.629556 5245.228615 8095.645394 5315.209278 5354.433696
 217 15314.021693 7793.369715 5238.195301 8079.630728 5307.758240 5345.886363
 218 15270.383157 7781.186118 5231.204196 8063.721935 5300.352346 5337.392394
 219 15227.069293 7769.077939 5224.254852 8047.917829 5292.991114 5328.951212
 220 15184.076209 7757.044365 5217.346829 8032.217243 5285.674069 5320.562246
 221 15141.400077 7745.084597 5210.479690 8016.619028 5278.400745 5312.224934
 222 15099.037132 7733.197847 5203.653009 8001.122054 5271.170682 5303.938726
 223 15056.983670 7721.383339 5196.866363 7985.725207 5263.983426 5295.703075
 224 15015.236048 7709.640309 5190.119337 7970.427390 5256.838530 5287.517447
 225 14973.790682 7697.968004 5183.411522 7955.227525 5249.735556 5279.381313
 226 14932.644046 7686.365683 5176.742515 7940.124550 5242.674069 5271.294154
 227 14891.792668 7674.832616 5170.111919 7925.117416 5235.653644 5263.255458
 228 14851.233136 7663.368082 5163.519341 7910.205095 5228.673858 5255.264718
 229 14810.962089 7651.971373 5156.964397 7895.386570 5221.734299 5247.321440
 230 14770.976220 7640.641791 5150.446706 7880.660843 5214.834557 5239.425132
 231 14731.272275 7629.378648 5143.965894 7866.026928 5207.974230 5231.575313
 232 14691.847049 7618.181264 5137.521591 7851.483855 5201.152922 5223.771505
 233 14652.697390 7607.048973 5131.113433 7837.030669 5194.370241 5216.013242
 234 14613.820192 7595.981114 5124.741062 7822.666428 5187.625803 5208.300061
 235 14575.212401 7584.977040 5118.404124 7808.390205 5180.919226 5200.631507
 236 14536.871007 7574.036109 5112.102270 7794.201085 5174.250137 5193.007130
 237 14498.793046 7563.157691 5105.835157 7780.098168 5167.618167 5185.426490
 238 14460.975602 7552.341165 5099.602445 7766.080567 5161.022952 5177.889149
 239 14423.415802 7541.585917 5093.403801 7752.147406 5154.464132 5170.394678
 240 14386.110816 7530.891343 5087.238895 7738.297823 5147.941354 5162.942653
 241 14349.057858 7520.256847 5081.107402 7724.530969 5141.454268 5155.532657
 242 14312.254182 7509.681841 5075.009001 7710.846006 5135.002532 5148.164277
 243 14275.697087 7499.165746 5068.943376 7697.242109 5128.585804 5140.837107
 244 14239.383907 7488.707990 5062.910216 7683.718463 5122.203752 5133.550747
 245 14203.312021 7478.308011 5056.909213 7670.274266 5115.856043 5126.304801
 246 14167.478843 7467.965251 5050.940063 7656.908727 5109.542353 5119.098880
 247 14131.881826 7457.679164 5045.002468 7643.621066 5103.262361 5111.932600
 248 14096.518461 7447.449208 5039.096132 7630.410514 5097.015749 5104.805581
 249 14061.386277 7437.274850 5033.220763 7617.276311 5090.802205 5097.717450
 250 14026.482835 7427.155563 5027.376075 7604.217711 5084.621421 5090.667838
 251 13991.805736 7417.090829 5021.561784 7591.233975 5078.473091 5083.656381
 252 13957.352613 7407.080135 5015.777609 7578.324375 5072.356916 5076.682720
 253 13923.121133 7397.122977 5010.023275 7565.488195 5066.272599 5069.746500
 254 13889.108998 7387.218855 5004.298510 7552.724726 5060.219847 5062.847373
 255 13855.313941 7377.367278 4998.603043 7540.033270 5054.198373 5055.984994
 256 13821.733728 7367.567760 4992.936611 7527.413139 5048.207892 5049.159021
 257 13788.366158 7357.819823 4987.298950 7514.863652 5042.248121 5042.369120
 258 13755.209059 7348.122992 4981.689803 7502.384139 5036.318784 5035.614960
 259 13722.260291 7338.476802 4976.108913 7489.973939 5030.419607 5028.896212
 260 13689.517742 7328.880792 4970.556029 7477.632398 5024.550319 5022.212554
 261 13656.979333 7319.334507 4965.030902 7465.358874 5018.710653 5015.563669
 262 13624.643009 7309.837499 4959.533287 7453.152730 5012.900347 5008.949240
 263 13592.506748 7300.389325 4954.062940 7441.013339 5007.119139 5002.368957
 264 13560.568554 7290.989546 4948.619622 7428.940083 5001.366773 4995.822515
 265 13528.826458 7281.637732 4943.203098 7416.932350 4995.642995 4989.309611
 266 13497.278518 7272.333456 4937.813132 7404.989537 4989.947555 4982.829945
 267 13465.922820 7263.076297 4932.449496 7393.111049 4984.280205 4976.383223
 268 13434.757473 7253.865840 4927.111960 7381.296299 4978.640701 4969.969154
 269 13403.780616 7244.701674 4921.800301 7369.544707 4973.028803 4963.587449
 270 13372.990408 7235.583394 4916.514296 7357.855700 4967.444271 4957.237826
 271 13342.385037 7226.510599 4911.253725 7346.228713 4961.886871 4950.920004
 272 13311.962713 7217.482895 4906.018372 7334.663188 4956.356370 4944.633705
 273 13281.721670 7208.499891 4900.808023 7323.158574 4950.852539 4938.378656
 274 13251.660167 7199.561202 4895.622466 7311.714327 4945.375150 4932.154588
 275 13221.776483 7190.666446 4890.461493 7300.329910 4939.923981 4925.961232
 276 13192.068923 7181.815248 4885.324897 7289.004792 4934.498809 4919.798327
 277 13162.535813 7173.007235 4880.212474 7277.738451 4929.099416 4913.665610
 278 13133.175500 7164.242042 4875.124023 7266.530367 4923.725587 4907.562826
 279 13103.986354 7155.519305 4870.059344 7255.380031 4918.377107 4901.489720
 280 13074.966765 7146.838665 4865.018241 7244.286938 4913.053766 4895.446041
 281 13046.115144 7138.199770 4860.000520 7233.250589 4907.755355 4889.431541
 282 13017.429923 7129.602268 4855.005989 7222.270492 4902.481669 4883.445976
 283 12988.909555 7121.045816 4850.034457 7211.346162 4897.232505 4877.489102
 284 12960.552512 7112.530071 4845.085737 7200.477116 4892.007660 4871.560681
 285 12932.357283 7104.054695 4840.159644 7189.662882 4886.806937 4865.660477
 286 12904.322381 7095.619356 4835.255995 7178.902990 4881.630140 4859.788255
 287 12876.446335 7087.223724 4830.374608 7168.196977 4876.477073 4853.943786
 288 12848.727692 7078.867472 4825.515305 7157.544385 4871.347546 4848.126841
 289 12821.165019 7070.550281 4820.677908 7146.944762 4866.241368 4842.337194
 290 12793.756900 7062.271830 4815.862242 7136.397662 4861.158353 4836.574623
 291 12766.501938 7054.031806 4811.068135 7125.902644 4856.098315 4830.838908
 292 12739.398751 7045.829898 4806.295416 7115.459270 4851.061070 4825.129830
 293 12712.445976 7037.665799 4801.543916 7105.067109 4846.046438 4819.447175
 294 12685.642267 7029.539205 4796.813467 7094.725737 4841.054240 4813.790729
 295 12658.986294 7021.449816 4792.103904 7084.434731 4836.084299 4808.160284
 296 12632.476742 7013.397335 4787.415064 7074.193676 4831.136440 4802.555630
 297 12606.112315 7005.381469 4782.746786 7064.002161 4826.210489 4796.976562
 298 12579.891731 6997.401927 4778.098910 7053.859778 4821.306276 4791.422878
 299 12553.813723 6989.458422 4773.471277 7043.766126 4816.423631 4785.894375
 300 12527.877041 6981.550672 4768.863732 7033.720808 4811.562388 4780.390856
 301 12502.080450 6973.678395 4764.276121 7023.723431 4806.722381 4774.912125
 302 12476.422728 6965.841315 4759.708289 7013.773608 4801.903445 4769.457986
 303 12450.902670 6958.039156 4755.160087 7003.870954 4797.105420 4764.028248
 304 12425.519083 6950.271649 4750.631365 6994.015089 4792.328146 4758.622721
 305 12400.270790 6942.538524 4746.121975 6984.205640 4787.571463 4753.241218
 306 12375.156629 6934.839517 4741.631771 6974.442235 4782.835216 4747.883552
 307 12350.175448 6927.174365 4737.160608 6964.724507 4778.119250 4742.549539
 308 12325.326113 6919.542808 4732.708343 6955.052095 4773.423411 4737.238999
 309 12300.607500 6911.944591 4728.274835 6945.424639 4768.747548 4731.951751
 310 12276.018500 6904.379458 4723.859944 6935.841784 4764.091512 4726.687618
 311 12251.558016 6896.847160 4719.463531 6926.303181 4759.455153 4721.446424
 312 12227.224964 6889.347448 4715.085459 6916.808483 4754.838325 4716.227995
 313 12203.018274 6881.880076 4710.725593 6907.357347 4750.240884 4711.032159
 314 12178.936886 6874.444800 4706.383798 6897.949433 4745.662685 4705.858745
 315 12154.979754 6867.041382 4702.059942 6888.584407 4741.103586 4700.707586
 316 12131.145843 6859.669582 4697.753894 6879.261936 4736.563447 4695.578515
 317 12107.434130 6852.329165 4693.465523 6869.981693 4732.042129 4690.471367
 318 12083.843606 6845.019899 4689.194701 6860.743353 4727.539494 4685.385979
 319 12060.373270 6837.741553 4684.941301 6851.546594 4723.055406 4680.322190
 320 12037.022133 6830.493899 4680.705196 6842.391100 4718.589730 4675.279839
 321 12013.789220 6823.276711 4676.486263 6833.276557 4714.142333 4670.258770
 322 11990.673565 6816.089767 4672.284377 6824.202653 4709.713083 4665.258826
 323 11967.674211 6808.932845 4668.099418 6815.169081 4705.301849 4660.279853
 324 11944.790216 6801.805727 4663.931263 6806.175536 4700.908502 4655.321696
 325 11922.020645 6794.708196 4659.779793 6797.221719 4696.532914 4650.384205
 326 11899.364576 6787.640038 4655.644891 6788.307330 4692.174958 4645.467230
 327 11876.821094 6780.601042 4651.526439 6779.432077 4687.834509 4640.570623
 328 11854.389298 6773.590997 4647.424320 6770.595666 4683.511444 4635.694237
 329 11832.068294 6766.609697 4643.338421 6761.797809 4679.205638 4630.837926
 330 11809.857199 6759.656935 4639.268627 6753.038222 4674.916971 4626.001546
 331 11787.755139 6752.732508 4635.214826 6744.316621 4670.645322 4621.184956
 332 11765.761252 6745.836216 4631.176907 6735.632727 4666.390572 4616.388015
 333 11743.874682 6738.967858 4627.154759 6726.986263 4662.152604 4611.610582
 334 11722.094585 6732.127238 4623.148273 6718.376956 4657.931300 4606.852520
 335 11700.420124 6725.314159 4619.157342 6709.804535 4653.726544 4602.113693
 336 11678.850473 6718.528430 4615.181857 6701.268731 4649.538223 4597.393964
 337 11657.384813 6711.769858 4611.221714 6692.769279 4645.366223 4592.693200
 338 11636.022336 6705.038254 4607.276807 6684.305916 4641.210431 4588.011269
 339 11614.762241 6698.333431 4603.347033 6675.878382 4637.070737 4583.348038
 340 11593.603736 6691.655202 4599.432288 6667.486421 4632.947031 4578.703379
 341 11572.546037 6685.003384 4595.532470 6659.129776 4628.839204 4574.077162
 342 11551.588370 6678.377794 4591.647480 6650.808196 4624.747147 4569.469260
 343 11530.729968 6671.778253 4587.777216 6642.521431 4620.670755 4564.879546
